"Title","Manufactured Capital Goods"
"CDID","GBID"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","17-01-2024"
"Next release","14 February 2024"
"Important notes",
"2009","93.1"
"2010","95.4"
"2011","97.0"
"2012","97.8"
"2013","99.3"
"2014","98.1"
"2015","100.0"
"2016","105.2"
"2017","108.7"
"2018","110.2"
"2019","114.5"
"2020","116.0"
"2021","115.3"
"2022","126.1"
"2023","131.0"
"2009 Q1","94.0"
"2009 Q2","93.0"
"2009 Q3","92.5"
"2009 Q4","93.1"
"2010 Q1","94.7"
"2010 Q2","95.6"
"2010 Q3","95.4"
"2010 Q4","96.0"
"2011 Q1","96.2"
"2011 Q2","96.9"
"2011 Q3","97.2"
"2011 Q4","97.8"
"2012 Q1","98.4"
"2012 Q2","98.3"
"2012 Q3","97.3"
"2012 Q4","97.1"
"2013 Q1","99.0"
"2013 Q2","100.4"
"2013 Q3","99.6"
"2013 Q4","98.1"
"2014 Q1","98.1"
"2014 Q2","97.7"
"2014 Q3","97.6"
"2014 Q4","99.1"
"2015 Q1","100.3"
"2015 Q2","100.0"
"2015 Q3","99.6"
"2015 Q4","100.1"
"2016 Q1","102.5"
"2016 Q2","103.0"
"2016 Q3","106.7"
"2016 Q4","108.7"
"2017 Q1","109.2"
"2017 Q2","108.5"
"2017 Q3","108.6"
"2017 Q4","108.4"
"2018 Q1","107.8"
"2018 Q2","108.9"
"2018 Q3","111.4"
"2018 Q4","112.9"
"2019 Q1","112.8"
"2019 Q2","113.9"
"2019 Q3","116.6"
"2019 Q4","114.8"
"2020 Q1","115.6"
"2020 Q2","117.1"
"2020 Q3","116.0"
"2020 Q4","115.3"
"2021 Q1","113.9"
"2021 Q2","113.3"
"2021 Q3","115.1"
"2021 Q4","118.9"
"2022 Q1","120.3"
"2022 Q2","125.0"
"2022 Q3","128.9"
"2022 Q4","130.3"
"2023 Q1","130.7"
"2023 Q2","130.7"
"2023 Q3","130.9"
"2023 Q4","131.6"
"2008 DEC","93.3"
"2009 JAN","93.9"
"2009 FEB","93.7"
"2009 MAR","94.3"
"2009 APR","93.3"
"2009 MAY","93.3"
"2009 JUN","92.3"
"2009 JUL","92.3"
"2009 AUG","92.2"
"2009 SEP","93.0"
"2009 OCT","93.5"
"2009 NOV","92.3"
"2009 DEC","93.6"
"2010 JAN","93.9"
"2010 FEB","94.6"
"2010 MAR","95.7"
"2010 APR","95.1"
"2010 MAY","95.8"
"2010 JUN","95.9"
"2010 JUL","95.5"
"2010 AUG","95.0"
"2010 SEP","95.6"
"2010 OCT","96.0"
"2010 NOV","95.8"
"2010 DEC","96.2"
"2011 JAN","96.3"
"2011 FEB","95.9"
"2011 MAR","96.4"
"2011 APR","96.7"
"2011 MAY","96.7"
"2011 JUN","97.2"
"2011 JUL","97.1"
"2011 AUG","96.8"
"2011 SEP","97.6"
"2011 OCT","97.7"
"2011 NOV","97.4"
"2011 DEC","98.2"
"2012 JAN","98.4"
"2012 FEB","98.4"
"2012 MAR","98.4"
"2012 APR","98.1"
"2012 MAY","98.0"
"2012 JUN","98.7"
"2012 JUL","98.3"
"2012 AUG","97.0"
"2012 SEP","96.7"
"2012 OCT","97.1"
"2012 NOV","97.2"
"2012 DEC","97.0"
"2013 JAN","97.8"
"2013 FEB","99.2"
"2013 MAR","100.1"
"2013 APR","100.5"
"2013 MAY","100.6"
"2013 JUN","100.1"
"2013 JUL","100.8"
"2013 AUG","99.4"
"2013 SEP","98.6"
"2013 OCT","98.4"
"2013 NOV","98.2"
"2013 DEC","97.7"
"2014 JAN","98.2"
"2014 FEB","98.0"
"2014 MAR","98.2"
"2014 APR","97.8"
"2014 MAY","97.7"
"2014 JUN","97.4"
"2014 JUL","96.9"
"2014 AUG","97.7"
"2014 SEP","98.2"
"2014 OCT","98.6"
"2014 NOV","99.2"
"2014 DEC","99.5"
"2015 JAN","100.4"
"2015 FEB","99.9"
"2015 MAR","100.6"
"2015 APR","100.6"
"2015 MAY","99.7"
"2015 JUN","99.5"
"2015 JUL","99.3"
"2015 AUG","99.5"
"2015 SEP","100.0"
"2015 OCT","100.0"
"2015 NOV","99.8"
"2015 DEC","100.6"
"2016 JAN","101.9"
"2016 FEB","102.6"
"2016 MAR","102.9"
"2016 APR","102.9"
"2016 MAY","102.5"
"2016 JUN","103.5"
"2016 JUL","106.4"
"2016 AUG","106.9"
"2016 SEP","106.8"
"2016 OCT","109.5"
"2016 NOV","108.6"
"2016 DEC","108.2"
"2017 JAN","109.2"
"2017 FEB","108.8"
"2017 MAR","109.5"
"2017 APR","108.7"
"2017 MAY","108.0"
"2017 JUN","108.9"
"2017 JUL","108.5"
"2017 AUG","109.1"
"2017 SEP","108.1"
"2017 OCT","108.5"
"2017 NOV","108.6"
"2017 DEC","108.1"
"2018 JAN","107.9"
"2018 FEB","107.7"
"2018 MAR","107.7"
"2018 APR","107.4"
"2018 MAY","109.2"
"2018 JUN","110.0"
"2018 JUL","110.4"
"2018 AUG","111.8"
"2018 SEP","112.0"
"2018 OCT","112.0"
"2018 NOV","112.8"
"2018 DEC","113.8"
"2019 JAN","113.3"
"2019 FEB","112.8"
"2019 MAR","112.3"
"2019 APR","112.8"
"2019 MAY","114.0"
"2019 JUN","114.8"
"2019 JUL","115.8"
"2019 AUG","117.1"
"2019 SEP","116.8"
"2019 OCT","115.7"
"2019 NOV","114.8"
"2019 DEC","114.0"
"2020 JAN","114.3"
"2020 FEB","115.0"
"2020 MAR","117.4"
"2020 APR","116.9"
"2020 MAY","117.5"
"2020 JUN","117.0"
"2020 JUL","116.6"
"2020 AUG","115.3"
"2020 SEP","116.2"
"2020 OCT","116.0"
"2020 NOV","115.1"
"2020 DEC","114.8"
"2021 JAN","114.5"
"2021 FEB","113.8"
"2021 MAR","113.3"
"2021 APR","113.5"
"2021 MAY","113.2"
"2021 JUN","113.3"
"2021 JUL","114.2"
"2021 AUG","114.3"
"2021 SEP","116.9"
"2021 OCT","118.1"
"2021 NOV","119.0"
"2021 DEC","119.5"
"2022 JAN","119.5"
"2022 FEB","120.0"
"2022 MAR","121.4"
"2022 APR","123.4"
"2022 MAY","125.6"
"2022 JUN","126.0"
"2022 JUL","127.6"
"2022 AUG","128.2"
"2022 SEP","131.0"
"2022 OCT","131.6"
"2022 NOV","130.1"
"2022 DEC","129.2"
"2023 JAN","130.2"
"2023 FEB","130.9"
"2023 MAR","131.0"
"2023 APR","130.8"
"2023 MAY","130.7"
"2023 JUN","130.6"
"2023 JUL","130.5"
"2023 AUG","130.7"
"2023 SEP","131.5"
"2023 OCT","132.0"
"2023 NOV","131.6"
"2023 DEC","131.2"
